animal_id,animal_type,sex,yrs,mnth,breed,color_prim,color_sec,los,intake_type,intake_subtype,intake_date,outcome_type,outcome_subtype,outcome_date
A260028,CAT,M,0,3,DOMESTIC SH,TAB MAC WH,ORANGE,30,OWNER SUR,EVALUATION,1/2/18,EUTH,SICK-OTHER,1/2/18
A260026,OTHER,M,1,10,HAMSTER,BLACK,WHITE,30,OWNER SUR,EVALUATION,1/2/18,ADOPTION,NEW OWNER,1/16/18
A259946,OTHER,F,0,1,GUINEA PIG,BROWN,WHITE,62,BRN N CARE,TRNSFR-EXT,12/1/17,ADOPTION,NEW OWNER,1/5/18
A259948,OTHER,M,0,1,GUINEA PIG,WHITE,BROWN,62,BRN N CARE,TRNSFR-EXT,12/1/17,ADOPTION,NEW OWNER,1/10/18
A259274,CAT,N,0,2,DOMESTIC SH,TAB MAC WH,GRAY,89,BRN N CARE,TRNSFR-EXT,11/4/17,ADOPTION,NEW OWNER,1/11/18
A259275,CAT,S,0,2,DOMESTIC SH,TAB MAC WH,BROWN,89,BRN N CARE,TRNSFR-EXT,11/4/17,ADOPTION,NEW OWNER,1/12/18
A259268,CAT,S,0,2,DOMESTIC SH,GRAY,TAB MACKRL,89,BRN N CARE,TRNSFR-EXT,11/4/17,ADOPTION,NEW OWNER,1/12/18
A259269,CAT,S,0,2,DOMESTIC SH,TAB MAC WH,BROWN,89,BRN N CARE,TRNSFR-EXT,11/4/17,ADOPTION,NEW OWNER,1/13/18
A260025,DOG,N,2,0,MIX THAT LOOKS LIKE A AMER BULLDOG,WHITE,BLACK,30,OWNER SUR,EVALUATION,1/2/18,ADOPTION,TIER 3,1/17/18
A260037,OTHER,F,1,0,GUINEA PIG,WHITE,BLACK,30,OWNER SUR,EVALUATION,1/2/18,ADOPTION,NEW OWNER,1/18/18
A260036,OTHER,F,1,0,GUINEA PIG,RED,,30,OWNER SUR,EVALUATION,1/2/18,ADOPTION,NEW OWNER,1/18/18
A258244,CAT,N,3,0,DOMESTIC SH,TAB MAC WH,BROWN,148,CONFISCATE,ABANDONED,9/6/17,ADOPTION,NEW OWNER,1/6/18
A255965,DOG,S,11,0,LHASA APSO / SHIH TZU,TAN,WHITE,268,CONFISCATE,ABANDONED,5/9/17,ADOPTION,NEW OWNER,1/17/18
A260030,CAT,N,0,4.5,DOMESTIC SH,BLACK,WHITE,30,STRAY,STRAY,1/2/18,ADOPTION,NEW OWNER,1/13/18
A260038,CAT,N,5,6,DOMESTIC SH,BLACK,WHITE,30,STRAY,STRAY,1/2/18,RTF,UNADPTBLE,1/16/18
A260032,CAT,N,1,0,DOMESTIC SH,TAB MAC WH,ORANGE,30,STRAY,STRAY,1/2/18,ADOPTION,NEW OWNER,1/24/18
A260029,CAT,S,0,6,DOMESTIC SH,TORBIE,WHITE,30,STRAY,STRAY,1/2/18,,,
A260033,CAT,F,15,0,DOMESTIC LH,TAB MACKRL,BROWN,30,TRNSFR-EXT,RESCUE GRP,1/2/18,RTO,UNADPTBLE,1/6/18
A260043,DOG,N,0,6,POODLE STND,APRICOT,,29,OWNER SUR,EVALUATION,1/3/18,ADOPTION,NEW OWNER,1/6/18
A260509,OTHER,F,0,1,GUINEA PIG,GRAY,WHITE,29,OWNER SUR,EVALUATION,1/3/18,DIED,FOSTERCARE,1/21/18
A260508,OTHER,U,0,1,GUINEA PIG,TRICOLOR,,29,OWNER SUR,EVALUATION,1/3/18,DIED,FOSTERCARE,1/21/18
A260062,OTHER,M,4,0,GUINEA PIG,TORTIE,WHITE,29,OWNER SUR,EVALUATION,1/3/18,,,
A260061,OTHER,M,4,0,GUINEA PIG,TORTIE-DIL,WHITE,29,OWNER SUR,EVALUATION,1/3/18,,,
